model_id,rmse,mse,mae,rmsle,mean_residual_deviance
GBM_4_AutoML_1_20251210_153805,28.15616235498874,792.7694785604851,17.726193088903575,,792.7694785604851
GBM_grid_1_AutoML_1_20251210_153805_model_5,28.276804171263432,799.5776541399811,17.629323945986965,,799.5776541399811
GBM_3_AutoML_1_20251210_153805,29.51781747853707,871.3015486962285,18.915886409531144,,871.3015486962285
GBM_2_AutoML_1_20251210_153805,30.48247288818139,929.1811533787136,19.710183326117864,,929.1811533787136
GBM_grid_1_AutoML_1_20251210_153805_model_4,31.637855579311147,1000.9539056573497,20.071205379191714,,1000.9539056573497
GBM_grid_1_AutoML_1_20251210_153805_model_2,31.798643500314135,1011.1537284600704,20.101075186905693,,1011.1537284600704
GBM_1_AutoML_1_20251210_153805,31.83038223646067,1013.1732333191912,20.763843468492656,,1013.1732333191912
GBM_5_AutoML_1_20251210_153805,31.858837825843313,1014.9855476133848,20.853125463867052,,1014.9855476133848
DRF_1_AutoML_1_20251210_153805,32.26418163120146,1040.9774163311577,20.48743805332908,0.42029119061167,1040.9774163311577
XRT_1_AutoML_1_20251210_153805,35.269102532152324,1243.909593423473,23.400236291992535,0.4654722824420923,1243.909593423473
GBM_grid_1_AutoML_1_20251210_153805_model_1,37.62296129134735,1415.487216330221,25.26593077282514,,1415.487216330221
GBM_grid_1_AutoML_1_20251210_153805_model_3,39.258023831843495,1541.192435181592,26.02238365864373,,1541.192435181592
DeepLearning_grid_1_AutoML_1_20251210_153805_model_2,53.01257013498179,2810.332592316364,35.158580079006164,,2810.332592316364
DeepLearning_grid_2_AutoML_1_20251210_153805_model_1,65.19578070888365,4250.489822240846,45.68547305862613,,4250.489822240846
DeepLearning_grid_1_AutoML_1_20251210_153805_model_1,70.90902049212505,5028.089187152611,52.1292710371597,,5028.089187152611
GLM_1_AutoML_1_20251210_153805,77.08967130157207,5942.817421384424,54.81020316938664,,5942.817421384424
DeepLearning_1_AutoML_1_20251210_153805,81.52447091549185,6646.239358050875,57.7807996503908,,6646.239358050875
